Date,open_interest_divergence.20,momentum.20,carry.20,retail_flow.20,foundational.20
06/08/2021,-0.015883698,-0.011977105,0.034830035,0.002666364,1.68%
07/08/2021,-0.031135455,-0.017292993,-0.024786873,-0.022521412,-3.02%
08/08/2021,0.0004648,-0.006660691,0.005783119,0.00451882,-0.30%
09/08/2021,-0.01029912,-0.007046939,0.002812026,-0.003955315,-0.43%
10/08/2021,0.020645958,-0.013971351,-0.016046817,-0.00402372,-1.33%
11/08/2021,-0.008617739,-0.019294926,-0.022902126,-0.026045353,-2.06%
12/08/2021,-0.004350363,-0.008753153,0.003465399,0.005819481,-0.73%
13/08/2021,-0.006499896,0.021230806,-0.006886867,0.042480671,5.06%
14/08/2021,0.003486034,0.010522712,-0.054408483,0.029074001,-2.18%
15/08/2021,-0.008072808,0.007770707,-0.029982862,-0.050575384,-0.61%
16/08/2021,0.009610837,0.018267715,0.021303758,-0.022640787,2.73%
17/08/2021,-0.01718993,0.033776476,0.026016112,0.025187678,3.87%
18/08/2021,0.024773697,0.059430064,-0.036117784,0.049751045,3.00%
19/08/2021,0.040202242,-0.002023462,-0.015977321,-0.004111098,-0.71%
20/08/2021,-0.011339605,-0.009189265,0.016276032,0.024360483,1.81%
21/08/2021,-0.009980691,-0.019633775,0.006362038,0.008384854,-1.69%
22/08/2021,0.022593242,0.008586961,-0.017009074,-0.004770979,-0.69%
23/08/2021,0.042659356,0.007636003,-0.022940297,0.026941235,-0.53%
24/08/2021,-0.009939593,0.003135471,0.024737653,0.014004101,2.66%
25/08/2021,0.008273442,0.003375882,0.004504773,0.006904287,1.11%
26/08/2021,-0.017642225,0.006962164,0.026515099,0.017725554,2.52%
27/08/2021,0.014402621,0.052584531,-0.026121948,-0.0302256,1.25%
28/08/2021,-0.022522541,0.006054384,0.042673939,0.026112042,3.14%
29/08/2021,0.022225583,-0.001655512,-0.004040718,0.002390268,-0.32%
30/08/2021,-0.011722288,0.020593587,0.010780453,0.035895266,2.71%
31/08/2021,-0.001725147,-0.003156695,-0.008919852,-0.020819552,-1.18%
01/09/2021,0.016158275,-0.01893713,0.004704059,0.005201325,-1.22%
02/09/2021,-0.019167975,0.024813578,-0.010028985,0.011420008,1.59%
03/09/2021,-0.042289013,-0.000373673,0.046312905,0.005768639,4.52%
04/09/2021,-0.020973455,-0.029454454,0.001800235,-0.045642364,-2.47%
05/09/2021,-0.039726562,-0.006415658,-0.003029544,-0.013183209,0.31%
06/09/2021,0.01690217,-0.023677954,-0.001431484,0.001500124,-1.85%
07/09/2021,0.004581142,0.0345327,0.018974416,-0.011272963,0.10%
08/09/2021,-0.045269784,0.028451682,0.021578848,0.022402367,3.66%
09/09/2021,0.01473708,0.006507329,-0.010260365,-0.013332588,0.14%
